Chest_x,Chest_y,Chest_z,Neck_x,Neck_y,Neck_z,Rhip_x,Rhip_y,Rhip_z,Rknee_z,Rankle_x,Rankle_y,Rankle_z,Rshoulder_x,Rshoulder_y,Rshoulder_z,Relbow_z,Lhip_x,Lhip_y,Lhip_z,Lknee_z,Lankle_x,Lankle_y,Lankle_z,Lshoulder_x,Lshoulder_y,Lshoulder_z,Lelbow_z,Safety_Score
-3.44,-1.72,-5.16,-1.72,-6.88,-16.04,4.58,-4.01,17.76,-0.57,0,-2.86,0,-12.61,-5.16,-16.04,-3.44,1.72,4.01,-4.01,-52.14,4.01,-10.31,-67.61,10.89,-23.49,-1.72,40.11,0.5
-3.44,-1.72,-5.16,-2.29,-6.88,-16.04,4.58,-3.44,17.76,-0.57,0,-2.86,0,-13.18,-5.16,-16.04,-2.86,1.72,4.01,-4.01,-52.71,4.01,-10.31,-68.18,10.89,-23.49,-1.72,39.53,0.5
-3.44,-1.15,-5.16,-2.29,-6.88,-16.04,4.58,-3.44,17.19,-0.57,0,-2.86,0,-13.18,-5.16,-16.04,-2.86,1.72,4.01,-3.44,-52.71,4.01,-10.31,-68.18,10.89,-23.49,-1.72,39.53,0.5
-3.44,-1.15,-5.16,-2.29,-6.88,-16.62,4.58,-3.44,17.19,-1.15,0,-2.86,0,-13.18,-5.16,-16.04,-2.86,1.72,4.01,-3.44,-53.29,3.44,-10.31,-68.18,10.89,-23.49,-1.72,39.53,0.5
-4.01,-1.15,-5.16,-2.29,-6.88,-16.62,4.58,-3.44,17.19,-1.15,0,-2.86,0,-13.18,-5.16,-16.04,-2.29,1.72,4.01,-2.86,-53.29,3.44,-10.31,-68.75,10.89,-23.49,-1.72,39.53,0.5
-4.01,-1.15,-5.16,-2.29,-6.88,-16.62,4.58,-3.44,17.19,-1.15,0,-2.86,0,-13.18,-4.58,-16.04,-2.29,1.72,4.01,-2.86,-53.86,3.44,-10.31,-68.75,10.89,-23.49,-1.72,38.96,0.5
-4.01,-0.57,-5.16,-2.29,-6.3,-16.62,4.58,-2.86,17.19,-1.15,0,-2.86,0,-13.18,-4.58,-16.04,-2.29,1.72,4.01,-2.29,-53.86,2.86,-10.31,-69.33,10.89,-22.92,-1.72,38.96,0.5
-4.01,-0.57,-5.16,-2.29,-6.3,-16.62,4.58,-2.86,16.62,-1.72,0,-2.86,0,-13.18,-4.58,-15.47,-2.29,1.72,4.01,-2.29,-54.43,2.86,-10.31,-69.33,10.89,-22.92,-1.72,38.96,0.5
-4.01,-0.57,-5.16,-2.86,-6.3,-16.62,4.58,-2.86,16.62,-1.72,0,-2.86,0,-13.18,-4.58,-15.47,-1.72,1.72,4.01,-1.72,-54.43,2.86,-10.31,-69.33,10.89,-22.92,-1.72,38.39,0.5
-4.01,0,-5.16,-2.86,-6.3,-16.62,4.58,-2.86,16.62,-1.72,0,-2.86,0,-13.18,-4.58,-15.47,-1.72,1.72,4.01,-1.72,-55,2.29,-10.31,-69.33,10.89,-22.92,-1.72,38.39,0.5
-4.01,0,-5.16,-2.86,-6.3,-17.19,4.58,-2.86,16.62,-1.72,0,-2.86,0,-13.75,-4.01,-15.47,-1.72,1.72,4.01,-1.15,-55,2.29,-10.31,-69.9,10.31,-22.92,-1.72,38.39,0.5
-4.01,0,-5.16,-2.86,-6.3,-17.19,4.58,-2.86,16.04,-2.29,0,-2.86,0,-13.75,-4.01,-15.47,-1.15,1.72,3.44,-1.15,-55,2.29,-10.31,-69.9,10.31,-22.92,-1.72,38.39,0.5
-4.01,0,-5.16,-2.86,-6.3,-17.19,4.58,-2.29,16.04,-2.29,0,-2.86,0,-13.75,-4.01,-14.9,-1.15,1.72,3.44,-1.15,-55.58,1.72,-10.31,-69.9,10.31,-22.35,-1.72,37.82,0.5
-4.01,0.57,-5.16,-3.44,-5.73,-17.19,5.16,-2.29,16.04,-2.29,0,-2.86,0,-13.75,-4.01,-14.9,-1.15,2.29,4.01,-0.57,-55.58,1.72,-10.31,-70.47,10.31,-22.35,-1.72,37.82,0.75
-4.01,0.57,-5.16,-3.44,-5.73,-17.19,5.16,-2.29,16.04,-2.29,0,-2.86,0,-13.75,-4.01,-14.9,-0.57,2.29,4.01,-0.57,-55.58,1.72,-10.31,-70.47,10.31,-22.35,-1.72,37.82,0.75
-4.58,0.57,-5.16,-3.44,-5.73,-17.19,5.16,-2.29,16.04,-2.86,0,-2.86,0,-13.75,-3.44,-14.9,-0.57,2.29,4.01,0,-56.15,1.15,-10.31,-70.47,10.31,-22.35,-2.29,37.82,0.75
-4.58,1.15,-5.16,-3.44,-5.73,-17.19,5.16,-2.29,15.47,-2.86,0,-2.86,0,-13.75,-3.44,-14.9,-0.57,2.29,4.01,0,-56.15,1.15,-10.31,-70.47,10.31,-22.35,-2.29,37.24,0.75
-4.58,1.15,-5.16,-3.44,-5.73,-17.19,5.16,-1.72,15.47,-2.86,0,-2.86,0,-13.75,-3.44,-14.9,-0.57,2.29,4.01,0.57,-56.15,1.15,-10.31,-70.47,10.31,-22.35,-2.29,37.24,0.75
-4.58,1.15,-5.16,-4.01,-5.73,-17.19,5.16,-1.72,15.47,-2.86,0,-2.86,0,-14.32,-3.44,-14.32,0,2.29,4.01,0.57,-56.72,0.57,-10.31,-70.47,10.31,-21.77,-2.29,37.24,0.75
-4.58,1.15,-5.16,-4.01,-5.16,-17.19,5.16,-1.72,15.47,-2.86,0,-2.86,0,-14.32,-2.86,-14.32,0,2.29,4.01,1.15,-56.72,0.57,-10.31,-70.47,10.31,-21.77,-2.29,37.24,0.75
-4.58,1.72,-5.16,-4.01,-5.16,-17.19,5.16,-1.72,14.9,-3.44,0,-2.86,0,-14.32,-2.86,-14.32,0,2.29,4.01,1.15,-57.3,0,-9.74,-71.05,10.31,-21.77,-2.29,36.67,0.75
-4.58,1.72,-5.16,-4.01,-5.16,-17.76,5.16,-1.72,14.9,-3.44,0,-2.86,0,-14.32,-2.86,-14.32,0.57,2.29,4.01,1.72,-57.3,0,-9.74,-71.05,10.31,-21.77,-2.29,36.67,0.75
-4.58,1.72,-5.16,-4.01,-5.16,-17.76,5.16,-1.15,14.9,-3.44,0,-2.86,0,-14.32,-2.29,-14.32,0.57,2.86,4.01,1.72,-57.3,0,-9.74,-71.05,10.31,-21.77,-2.29,36.67,0.75
-4.58,2.29,-5.16,-4.01,-5.16,-17.76,5.16,-1.15,14.9,-3.44,0,-2.86,0,-14.32,-2.29,-14.32,0.57,2.86,4.01,2.29,-57.3,-0.57,-9.74,-71.05,10.31,-21.77,-2.29,36.1,0.75
-4.58,2.29,-5.16,-4.58,-5.16,-17.76,5.16,-1.15,14.9,-4.01,0,-2.86,0,-14.32,-1.72,-13.75,1.15,2.86,4.01,2.29,-57.87,-0.57,-9.17,-71.05,10.31,-21.2,-2.29,36.1,0.75
-4.58,2.29,-5.16,-4.58,-5.16,-17.76,5.16,-1.15,14.32,-4.01,0,-2.86,0,-14.32,-1.72,-13.75,1.15,2.86,4.01,2.86,-57.87,-0.57,-9.17,-71.05,10.31,-21.2,-2.29,35.52,0.75
-4.58,2.29,-5.16,-4.58,-4.58,-17.76,5.16,-1.15,14.32,-4.01,0,-2.86,0,-14.9,-1.72,-13.75,1.15,2.86,4.01,2.86,-57.87,-1.15,-9.17,-71.05,9.74,-21.2,-2.29,35.52,0.75
-4.58,2.86,-5.16,-4.58,-4.58,-17.76,5.16,-1.15,14.32,-4.01,0,-2.86,0,-14.9,-1.15,-13.75,1.72,2.86,4.01,3.44,-58.44,-1.15,-9.17,-70.47,9.74,-21.2,-2.29,35.52,0.75
-4.58,2.86,-5.16,-4.58,-4.58,-17.76,5.16,-0.57,14.32,-4.01,0,-2.86,0,-14.9,-1.15,-13.75,1.72,2.86,4.01,3.44,-58.44,-1.15,-8.59,-70.47,9.74,-21.2,-2.86,34.95,0.75
-4.58,2.86,-5.16,-4.58,-4.58,-17.76,5.16,-0.57,13.75,-4.58,0,-2.86,0,-14.9,-1.15,-13.18,2.29,2.86,4.01,4.01,-58.44,-1.72,-8.59,-70.47,9.74,-21.2,-2.86,34.95,0.75
-4.58,3.44,-5.16,-5.16,-4.58,-17.76,5.16,-0.57,13.75,-4.58,0,-2.86,0,-14.9,-0.57,-13.18,2.29,2.86,4.01,4.01,-58.44,-1.72,-8.59,-70.47,9.74,-20.63,-2.86,34.95,0.75
-4.58,3.44,-5.16,-5.16,-4.58,-18.33,5.16,-0.57,13.75,-4.58,0,-2.86,0,-14.9,-0.57,-13.18,2.29,3.44,4.01,4.58,-59.01,-1.72,-8.59,-70.47,9.74,-20.63,-2.86,34.38,0.75
-4.58,3.44,-5.16,-5.16,-4.01,-18.33,5.16,-0.57,13.75,-4.58,0,-2.86,0,-14.9,0,-13.18,2.86,3.44,4.58,4.58,-59.01,-2.29,-8.02,-70.47,9.74,-20.63,-2.86,34.38,0.75
-4.58,4.01,-5.16,-5.16,-4.01,-18.33,5.16,-0.57,13.18,-4.58,0,-2.86,0,-14.9,0,-13.18,2.86,3.44,4.58,5.16,-59.01,-2.29,-8.02,-70.47,9.74,-20.63,-2.86,34.38,0.75
-4.58,4.01,-5.16,-5.16,-4.01,-18.33,5.16,0,13.18,-5.16,0,-2.86,0,-14.9,0,-12.61,2.86,3.44,4.58,5.16,-59.01,-2.29,-8.02,-70.47,9.74,-20.63,-2.86,34.38,0.75
-4.58,4.01,-5.16,-5.16,-4.01,-18.33,5.16,0,13.18,-5.16,0,-2.86,0,-14.9,0.57,-12.61,3.44,3.44,4.58,5.73,-59.59,-2.86,-8.02,-70.47,9.74,-20.05,-2.86,33.8,0.75
-4.58,4.01,-5.16,-5.16,-4.01,-18.33,5.16,0,13.18,-5.16,0,-2.86,0,-14.9,0.57,-12.61,3.44,3.44,4.58,5.73,-59.59,-2.86,-7.45,-70.47,9.74,-20.05,-2.86,33.8,0.75
-4.58,4.58,-5.16,-5.73,-4.01,-18.33,5.16,0,13.18,-5.16,0,-2.86,0,-14.9,0.57,-12.61,3.44,3.44,4.58,6.3,-59.59,-2.86,-7.45,-70.47,9.74,-20.05,-2.86,33.8,0.75
-4.58,4.58,-5.16,-5.73,-3.44,-18.33,5.16,0,12.61,-5.16,0,-2.86,0,-15.47,1.15,-12.61,4.01,3.44,4.58,6.3,-59.59,-3.44,-7.45,-70.47,9.74,-20.05,-2.86,33.23,0.75
-4.58,4.58,-5.16,-5.73,-3.44,-18.33,5.16,0,12.61,-5.73,0,-2.86,0,-15.47,1.15,-12.61,4.01,4.01,4.58,6.88,-59.59,-3.44,-6.88,-70.47,9.74,-20.05,-3.44,33.23,0.75
-5.16,4.58,-5.16,-5.73,-3.44,-18.33,5.16,0.57,12.61,-5.73,0,-2.86,0,-15.47,1.72,-12.03,4.01,4.01,4.58,6.88,-59.59,-3.44,-6.88,-69.9,9.74,-20.05,-3.44,32.66,0.75
-5.16,5.16,-5.16,-5.73,-3.44,-18.33,5.16,0.57,12.61,-5.73,0,-2.86,0,-15.47,1.72,-12.03,4.58,4.01,4.58,7.45,-60.16,-4.01,-6.3,-69.9,9.74,-19.48,-3.44,32.66,0.75
-5.16,5.16,-5.16,-5.73,-3.44,-18.91,5.16,0.57,12.03,-5.73,0,-2.86,0,-15.47,2.29,-12.03,4.58,4.01,4.58,7.45,-60.16,-4.01,-6.3,-69.9,9.74,-19.48,-3.44,32.66,0.75
